Node_Index,Gene_ID,Gene_Symbol,Score
5046,ENSG00000155657,TTN,1.0
811,ENSG00000142192,APP,0.9999987
5432,ENSG00000198626,RYR2,0.9999976
1020,ENSG00000010810,FYN,0.99999297
1050,ENSG00000001626,CFTR,0.9999926
16,ENSG00000177885,GRB2,0.9999906
2239,ENSG00000150991,UBC,0.9999838
3437,ENSG00000115414,FN1,0.99997735
965,ENSG00000154229,PRKCA,0.9999695
4995,ENSG00000188906,LRRK2,0.9999293
497,ENSG00000081479,LRP2,0.9999162
3258,ENSG00000131018,SYNE1,0.99990106
2456,ENSG00000038427,VCAN,0.9998524
414,ENSG00000171105,INSR,0.99983776
220,ENSG00000173039,RELA,0.99983263
5352,ENSG00000163554,SPTA1,0.99979717
1544,ENSG00000253729,PRKDC,0.9997851
13207,ENSG00000250120,PCDHA10,0.9997615
690,ENSG00000120156,TEK,0.99975485
1257,ENSG00000142627,EPHA2,0.9997216
576,ENSG00000123374,CDK2,0.99961984
1425,ENSG00000160691,SHC1,0.999608
2213,ENSG00000084674,APOB,0.9995876
2212,ENSG00000143631,FLG,0.99957985
1623,ENSG00000151914,DST,0.9995684
130,ENSG00000170345,FOS,0.9995127
5500,ENSG00000127603,MACF1,0.99945253
306,ENSG00000055130,CUL1,0.99939454
1325,ENSG00000167193,CRK,0.99938905
279,ENSG00000175104,TRAF6,0.9993592
5828,ENSG00000091656,ZFHX4,0.99935216
4766,ENSG00000073111,MCM2,0.99926
944,ENSG00000189056,RELN,0.99913186
1427,ENSG00000185591,SP1,0.9990472
1416,ENSG00000169047,IRS1,0.9990441
930,ENSG00000116478,HDAC1,0.998973
1222,ENSG00000086758,HUWE1,0.9988856
1969,ENSG00000123384,LRP1,0.99887305
379,ENSG00000106571,GLI3,0.9988581
1315,ENSG00000170558,CDH2,0.9987998
1471,ENSG00000163932,PRKCD,0.99878794
1935,ENSG00000101076,HNF4A,0.99875975
2059,ENSG00000169252,ADRB2,0.9986821
1692,ENSG00000101336,HCK,0.998632
6937,ENSG00000198947,DMD,0.99862933
1478,ENSG00000162772,ATF3,0.9985305
455,ENSG00000120899,PTK2B,0.9984875
2354,ENSG00000196218,RYR1,0.9984847
1228,ENSG00000254087,LYN,0.99836797
1472,ENSG00000116106,EPHA4,0.9983615
515,ENSG00000074181,NOTCH3,0.99832004
888,ENSG00000165280,VCP,0.9982766
3091,ENSG00000196482,ESRRG,0.9982735
1212,ENSG00000113580,NR3C1,0.9982607
1240,ENSG00000114251,WNT5A,0.99822265
5009,ENSG00000154358,OBSCN,0.9981988
1118,ENSG00000169398,PTK2,0.99813277
1903,ENSG00000000938,FGR,0.99808866
3213,ENSG00000197694,SPTAN1,0.9980489
565,ENSG00000213341,CHUK,0.9979353
339,ENSG00000115415,STAT1,0.99790525
637,ENSG00000259207,ITGB3,0.9977519
995,ENSG00000082701,GSK3B,0.9975902
2949,ENSG00000102554,KLF5,0.99757916
1624,ENSG00000178209,PLEC,0.9975721
6748,ENSG00000124942,AHNAK,0.99748343
448,ENSG00000148053,NTRK2,0.9974312
669,ENSG00000164924,YWHAZ,0.9973876
5508,ENSG00000183091,NEB,0.9973635
8125,ENSG00000127481,UBR4,0.99730575
1707,ENSG00000184304,PRKD1,0.9972133
678,ENSG00000115232,ITGA4,0.9971852
7848,ENSG00000166147,FBN1,0.9971334
1715,ENSG00000087258,GNAO1,0.9970962
382,ENSG00000074047,GLI2,0.99699116
179,ENSG00000124813,RUNX2,0.9969831
1403,ENSG00000145242,EPHA5,0.9968861
954,ENSG00000143171,RXRG,0.9967892
10666,ENSG00000143341,HMCN1,0.99677914
1475,ENSG00000115306,SPTBN1,0.99672395
208,ENSG00000067182,TNFRSF1A,0.99663687
869,ENSG00000142798,HSPG2,0.9964881
1638,ENSG00000115085,ZAP70,0.996376
3345,ENSG00000176887,SOX11,0.9962257
1989,ENSG00000263528,IKBKE,0.9961831
