Unnamed: 0,Expert,Group,Quantile,X,Density
0,Omics,Driver,0.1,-0.150107,0.667935
1,Omics,Driver,0.3,0.053486,1.124068
2,Omics,Driver,0.5,0.208744,1.109439
3,Omics,Driver,0.7,0.423526,0.715905
4,Omics,Driver,0.9,1.065269,0.153583
5,Omics,Non-Driver,0.1,-1.47376,0.142194
6,Omics,Non-Driver,0.3,-0.463537,0.241537
7,Omics,Non-Driver,0.5,0.058844,0.570689
8,Omics,Non-Driver,0.7,0.377013,0.533118
9,Omics,Non-Driver,0.9,0.969915,0.210125
10,Self,Driver,0.1,-1.435203,0.136392
11,Self,Driver,0.3,-0.788968,0.648472
12,Self,Driver,0.5,-0.545029,0.948978
13,Self,Driver,0.7,-0.358558,0.926268
14,Self,Driver,0.9,-0.094901,0.493841
15,Self,Non-Driver,0.1,-2.205292,0.21593
16,Self,Non-Driver,0.3,-1.624645,0.495192
17,Self,Non-Driver,0.5,-1.260054,0.587779
18,Self,Non-Driver,0.7,-0.920226,0.545647
19,Self,Non-Driver,0.9,-0.514566,0.379262
20,Neighbor,Driver,0.1,-2.786,0.056302
21,Neighbor,Driver,0.3,-1.170053,0.330564
22,Neighbor,Driver,0.5,-0.709775,0.650049
23,Neighbor,Driver,0.7,-0.487345,0.703433
24,Neighbor,Driver,0.9,-0.287616,0.580259
25,Neighbor,Non-Driver,0.1,-2.139166,0.177395
26,Neighbor,Non-Driver,0.3,-1.477649,0.491198
27,Neighbor,Non-Driver,0.5,-1.147954,0.676361
28,Neighbor,Non-Driver,0.7,-0.852481,0.623492
29,Neighbor,Non-Driver,0.9,-0.47904,0.42479
30,Together,Driver,0.1,-1.869265,0.140032
31,Together,Driver,0.3,-1.062115,0.422132
32,Together,Driver,0.5,-0.690183,0.601874
33,Together,Driver,0.7,-0.395266,0.510065
34,Together,Driver,0.9,0.362709,0.222021
35,Together,Non-Driver,0.1,-2.265897,0.1518
36,Together,Non-Driver,0.3,-1.519973,0.418233
37,Together,Non-Driver,0.5,-1.130146,0.581978
38,Together,Non-Driver,0.7,-0.80714,0.588105
39,Together,Non-Driver,0.9,-0.369415,0.297966
40,Interact_OS,Driver,0.1,0.678599,0.331561
41,Interact_OS,Driver,0.3,1.107729,0.389828
42,Interact_OS,Driver,0.5,1.704271,0.284709
43,Interact_OS,Driver,0.7,2.586695,0.178416
44,Interact_OS,Driver,0.9,4.58283,0.058284
45,Interact_OS,Non-Driver,0.1,0.949213,0.253891
46,Interact_OS,Non-Driver,0.3,1.644243,0.287783
47,Interact_OS,Non-Driver,0.5,2.322328,0.296806
48,Interact_OS,Non-Driver,0.7,3.052607,0.245598
49,Interact_OS,Non-Driver,0.9,4.1566,0.110453
50,Interact_ST,Driver,0.1,-2.748984,0.076438
51,Interact_ST,Driver,0.3,-1.211669,0.258579
52,Interact_ST,Driver,0.5,-0.626659,0.516938
53,Interact_ST,Driver,0.7,-0.329827,0.60414
54,Interact_ST,Driver,0.9,-0.043769,0.463564
55,Interact_ST,Non-Driver,0.1,-1.714202,0.165569
56,Interact_ST,Non-Driver,0.3,-0.970954,0.3729
57,Interact_ST,Non-Driver,0.5,-0.553967,0.703845
58,Interact_ST,Non-Driver,0.7,-0.334308,1.034756
59,Interact_ST,Non-Driver,0.9,-0.149018,0.815268
