范围,基线,指标,测试类型,p值,BH_q_合并(本范围),BH_q_分指标(本范围),论文参考值,BH显著_q<0.05
CPDB,ECD_CDGI,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,Dishyper,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,5.96195981472647e-10,7.154351777671764e-10,7.665376904648318e-10,5.4e-10,TRUE
CPDB,DISFusion,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.163294119237956e-08,9.183705884142701e-08,9.183705884142701e-08,1.17e-09,TRUE
CPDB,MNGCL,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,0.00014900182036381437,0.00014900182036381437,0.00014900182036381437,0.000265,TRUE
CPDB,MTGCN,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,EMOGI,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,GCN,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,Cheb,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,GAT,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.2838873649431793e-15,1e-15,TRUE
CPDB,ECD_CDGI,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,1.7763568394002505e-15,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
CPDB,Dishyper,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
CPDB,DISFusion,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,1.687538997430238e-14,2.2500519965736505e-14,2.0250467969162856e-14,1.32e-12,TRUE
CPDB,MNGCL,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,1.335179740991066e-06,1.4137197257552463e-06,1.335179740991066e-06,2.39e-06,TRUE
CPDB,MTGCN,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,1.687538997430238e-14,2.2500519965736505e-14,2.0250467969162856e-14,1e-15,TRUE
CPDB,EMOGI,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
CPDB,GCN,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
CPDB,Cheb,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
CPDB,GAT,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.6645352591003757e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,ECD_CDGI,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,Dishyper,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,5.4e-10,TRUE
STRING,DISFusion,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,0.03103562612633759,0.03103562612633759,0.03103562612633759,1.17e-09,TRUE
STRING,MNGCL,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,5.643650169417924e-08,6.349106440595165e-08,6.349106440595165e-08,0.000265,TRUE
STRING,MTGCN,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,2.6645352591003757e-15,4.170576927287545e-15,3.6893565126005205e-15,1e-15,TRUE
STRING,EMOGI,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,2.6645352591003757e-15,4.170576927287545e-15,3.6893565126005205e-15,1e-15,TRUE
STRING,GCN,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,Cheb,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,GAT,AUC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,ECD_CDGI,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
