Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=16)",Significant Global (q<0.05),"BH q (Family, m=4)",Significant Family (q<0.05)
CPDB,AUPRC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,10-run mean,10,0.8591319218000001,0.002577973045035578,0.8586355632,0.0035673883988780546,0.000496358600000002,0.0004685920000000454,-0.0008012839999999022,0.0016223549999999642,0.34545454545454546,0.375,0.42857142857142855,False,0.375,False
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,10-run mean,10,0.8543471733999999,0.002876217540444145,0.8586355632,0.0035673883988780546,-0.004288389800000047,-0.004225262000000174,-0.006191988000000093,-0.0023671720000000285,-1.0,0.001953125,0.005208333333333333,True,0.0026041666666666665,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,10-run mean,10,0.8539629846000001,0.0027821154005334913,0.8586355632,0.0035673883988780546,-0.0046725786000000324,-0.004674113000000091,-0.0057471740000001326,-0.0032626179999999394,-1.0,0.001953125,0.005208333333333333,True,0.0026041666666666665,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,10-run mean,10,0.8518394633999999,0.0021186643833827124,0.8586355632,0.0035673883988780546,-0.006796099800000066,-0.006403197000000138,-0.008917226000000056,-0.0041188780000001035,-1.0,0.001953125,0.005208333333333333,True,0.0026041666666666665,True
CPDB,AUC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,10-run mean,10,0.9309549456000001,0.001206635045282509,0.9305175896000002,0.001655062715893714,0.00043735599999996657,0.00043436200000002145,-0.00014138400000007767,0.0009864819999999552,0.4909090909090909,0.193359375,0.28125,False,0.193359375,False
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,10-run mean,10,0.9293662328000002,0.0013696068816176764,0.9305175896000002,0.001655062715893714,-0.001151356800000003,-0.0011982270000000517,-0.001996688999999885,-0.0004786379999999757,-0.7818181818181819,0.02734375,0.04861111111111111,True,0.036458333333333336,True
CPDB,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,10-run mean,10,0.9292190088,0.0010266089899003234,0.9305175896000002,0.001655062715893714,-0.0012985808000000043,-0.0010722400000000576,-0.001811402000000184,-0.0006802850000000027,-1.0,0.001953125,0.005208333333333333,True,0.00390625,True
CPDB,AUC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,10-run mean,10,0.9282519844000001,0.0009840149517818487,0.9305175896000002,0.001655062715893714,-0.0022656051999999983,-0.002271804999999849,-0.0032615300000000125,-0.0013226069999999757,-1.0,0.001953125,0.005208333333333333,True,0.00390625,True
STRING,AUPRC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,10-run mean,10,0.841072034,0.0013816256981927313,0.8414208096,0.00164253114156823,-0.0003487755999999731,-0.0004954400000000136,-0.001907674999999942,0.0009136269999999724,-0.16363636363636364,0.6953125,0.7416666666666667,False,0.6953125,False
STRING,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,10-run mean,10,0.8401132798000001,0.001495124996224023,0.8414208096,0.00164253114156823,-0.0013075297999999957,-0.001631598000000123,-0.0029905199999999965,-0.00019052400000019176,-0.6363636363636364,0.083984375,0.134375,False,0.11197916666666667,False
STRING,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,10-run mean,10,0.8400404411999999,0.0014140630274120571,0.8414208096,0.00164253114156823,-0.0013803684000000204,-0.0013068960000001129,-0.002009221000000061,-0.0008434670000000977,-0.9636363636363636,0.00390625,0.0078125,True,0.0078125,True
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,10-run mean,10,0.837416206,0.0023183052769125967,0.8414208096,0.00164253114156823,-0.004004603600000034,-0.00406700100000007,-0.00531537700000001,-0.0027647579999999783,-0.9636363636363636,0.00390625,0.0078125,True,0.0078125,True
STRING,AUC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,10-run mean,10,0.928563974,0.0004666945360519714,0.9284909798000001,0.001035748380335875,7.299419999997613e-05,7.137999999995426e-05,-0.0006930299999999279,0.0010048819999999292,0.09090909090909091,0.845703125,0.845703125,False,0.845703125,False
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,10-run mean,10,0.9289694880000001,0.0007389404303715109,0.9284909798000001,0.001035748380335875,0.00047850820000000516,0.000527385999999963,-0.0003982040000000686,0.0013342589999999488,0.38181818181818183,0.322265625,0.39663461538461536,False,0.4296875,False
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,10-run mean,10,0.9287943564000001,0.0006796377862466473,0.9284909798000001,0.001035748380335875,0.00030337659999999376,0.000455855000000005,-0.0003384140000000091,0.0009766659999999039,0.38181818181818183,0.322265625,0.39663461538461536,False,0.4296875,False
STRING,AUC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,10-run mean,10,0.9268631312,0.0009549199948851321,0.9284909798000001,0.001035748380335875,-0.0016278486000000148,-0.0015526020000000695,-0.002227474000000007,-0.0009874520000000553,-1.0,0.001953125,0.005208333333333333,True,0.0078125,True
