Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=16)",Significant Global (q<0.05),"BH q (Family, m=4)",Significant Family (q<0.05)
CPDB,AUPRC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,50-fold value,50,0.8591319218000001,0.02346219530790217,0.8586355632,0.02277177911229998,0.0004963585999999998,0.0007319000000000075,-0.0008494199999999896,0.0021786763750000376,0.14980392156862746,0.35658693993847124,0.475449253251295,False,0.35658693993847124,False
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,50-fold value,50,0.8543471734000002,0.02310963892544603,0.8586355632,0.02277177911229998,-0.00428838980000001,-0.004648034999999995,-0.006619239999999971,-0.0025297499999999973,-0.5796078431372549,0.00036124789141527334,0.0019266554208814577,True,0.00048166385522036443,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,50-fold value,50,0.8539629846,0.023806087464464224,0.8586355632,0.02277177911229998,-0.00467257860000001,-0.0045149449999999924,-0.006819802000000011,-0.002538180000000001,-0.6564705882352941,5.347465175047991e-05,0.0004277972140038393,True,0.00010694930350095982,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,50-fold value,50,0.8518394634,0.022879851396967125,0.8586355632,0.02277177911229998,-0.006796099800000013,-0.007136584999999973,-0.009389320000000034,-0.0048639268749999754,-0.7427450980392157,4.8580216897793695e-06,7.772834703646991e-05,True,1.9432086759117478e-05,True
CPDB,AUC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,50-fold value,50,0.9309549456,0.013105399211527308,0.9305175896000002,0.012814179337501251,0.00043735599999999986,0.0003598000000000212,-0.00035874287500004665,0.001156765000000004,0.1623529411764706,0.3177393038865479,0.4621662601986152,False,0.3177393038865479,False
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,50-fold value,50,0.9293662327999997,0.013300198195404915,0.9305175896000002,0.012814179337501251,-0.0011513567999999962,-0.001113079999999933,-0.002144405000000016,-0.0001622199999999907,-0.35764705882352943,0.027738830457004277,0.055477660914008554,False,0.0369851072760057,True
CPDB,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,50-fold value,50,0.9292190087999999,0.013359545113518896,0.9305175896000002,0.012814179337501251,-0.0012985808,-0.0013428799999999907,-0.0023320499999999744,-0.00032183499999999254,-0.40705882352941175,0.012244245598763703,0.032651321596703205,True,0.024488491197527405,True
CPDB,AUC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,50-fold value,50,0.9282519843999999,0.01299846083870889,0.9305175896000002,0.012814179337501251,-0.002265605200000005,-0.0022955250000000205,-0.0034948352500000224,-0.0011438382499999967,-0.5450980392156862,0.0007949881830860046,0.002543962185875215,True,0.0031799527323440185,True
STRING,AUPRC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,50-fold value,50,0.8410720340000001,0.017130607578124957,0.8414208096000002,0.016235267277218073,-0.0003487755999999953,-0.0005320750000000207,-0.0023616105000000454,0.001154317375000011,-0.0996078431372549,0.5398874509526412,0.6644768627109431,False,0.5398874509526412,False
STRING,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,50-fold value,50,0.8401132798,0.020199648989930652,0.8414208096000002,0.016235267277218073,-0.0013075298000000003,-0.001355540000000044,-0.003496155000000001,0.0012645599999999702,-0.1811764705882353,0.2648702686053157,0.4237924297685051,False,0.35316035814042096,False
STRING,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,50-fold value,50,0.8400404412,0.0204696803674869,0.8414208096000002,0.016235267277218073,-0.001380368400000005,-0.001286049999999983,-0.0036562900000000065,0.0009291149999999804,-0.18901960784313726,0.24474022143750518,0.4237924297685051,False,0.35316035814042096,False
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - BIMODriver-Original,BIMODriver-Masking (Mask All Graph Edges),BIMODriver-Original,50-fold value,50,0.8374162059999999,0.02075984378809523,0.8414208096000002,0.016235267277218073,-0.004004603599999994,-0.004278674999999954,-0.006537614999999997,-0.002041355374999921,-0.5498039215686275,0.0007157493843172797,0.002543962185875215,True,0.002862997537269119,True
STRING,AUC,BIMODriver-Masking - BIMODriver-Original,BIMODriver-Masking,BIMODriver-Original,50-fold value,50,0.928563974,0.007813871458999566,0.9284909798,0.00678912630803713,7.299420000000057e-05,3.317500000005191e-05,-0.0008675750000000093,0.0008505749999999646,0.009411764705882352,0.9538120759889976,0.9538120759889976,False,0.9538120759889976,False
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - BIMODriver-Original,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Original,50-fold value,50,0.928969488,0.009310133746748437,0.9284909798,0.00678912630803713,0.00047850820000000293,0.00030330000000000634,-0.0006938959999999932,0.0016987800000000108,0.08862745098039215,0.5854713957431565,0.6691101665636074,False,0.9538120759889976,False
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - BIMODriver-Original,BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Original,50-fold value,50,0.9287943564000001,0.009288425542501543,0.9284909798,0.00678912630803713,0.0003033766000000004,0.0001895200000000541,-0.0009832949999999396,0.0013648750000000431,0.05254901960784314,0.7464038125448392,0.7961640667144951,False,0.9538120759889976,False
