Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=40)",Significant Global (q<0.05),"BH q (Family, m=10)",Significant Family (q<0.05)
CPDB,AUPRC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,10-run mean,10,0.8586355632,0.0035673883988780546,0.84362496,0.003757352334610077,0.015010603200000017,0.014905117999999995,0.012359110999999923,0.01763403600000013,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,10-run mean,10,0.8586355632,0.0035673883988780546,0.8397671501999999,0.002299215855777689,0.01886841300000005,0.01864327799999993,0.015350821000000014,0.02207559400000003,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,10-run mean,10,0.8591319218000001,0.002577973045035578,0.84362496,0.003757352334610077,0.015506961800000019,0.015429426999999885,0.01295514199999992,0.017807295,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,10-run mean,10,0.8591319218000001,0.002577973045035578,0.8397671501999999,0.002299215855777689,0.019364771600000052,0.01939246800000005,0.016734607000000068,0.022051586000000123,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,10-run mean,10,0.8543471733999999,0.002876217540444145,0.84362496,0.003757352334610077,0.010722213399999968,0.010607120999999942,0.008219202000000148,0.013190692000000004,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,10-run mean,10,0.8543471733999999,0.002876217540444145,0.8397671501999999,0.002299215855777689,0.014580023200000004,0.014468632999999953,0.011710759999999931,0.017355440000000055,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,10-run mean,10,0.8539629846000001,0.0027821154005334913,0.84362496,0.003757352334610077,0.010338024599999985,0.010160527999999835,0.00853494400000021,0.012048434999999968,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,10-run mean,10,0.8539629846000001,0.0027821154005334913,0.8397671501999999,0.002299215855777689,0.014195834400000018,0.01428234599999989,0.011326388999999992,0.017264455000000067,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,10-run mean,10,0.8518394633999999,0.0021186643833827124,0.84362496,0.003757352334610077,0.008214503399999951,0.008209141999999947,0.00623520199999994,0.010051147000000038,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,10-run mean,10,0.8518394633999999,0.0021186643833827124,0.8397671501999999,0.002299215855777689,0.012072313199999985,0.011921408999999883,0.009850847999999801,0.014486481000000051,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
CPDB,AUC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,10-run mean,10,0.9305175896000002,0.001655062715893714,0.92384068,0.0016937778820140426,0.006676909600000036,0.006634821999999985,0.005113303000000069,0.00829841800000014,1.0,0.001953125,0.002003205128205128,True,0.001953125,True
