Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=40)",Significant Global (q<0.05),"BH q (Family, m=10)",Significant Family (q<0.05)
CPDB,AUPRC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,50-fold value,50,0.8586355632,0.02277177911229998,0.84362496,0.022243246825911018,0.015010603200000005,0.014701679999999995,0.011860244999999991,0.01749700500000001,0.9890196078431372,1.1548334686261787e-09,3.5138783147663566e-08,True,8.784695786915892e-09,True
CPDB,AUPRC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,50-fold value,50,0.8586355632,0.02277177911229998,0.8397671502000001,0.02150857983079399,0.018868413000000007,0.018778850000000014,0.011485210000000023,0.02604339499999997,0.7176470588235294,1.0036990158048848e-05,3.22913474518995e-05,True,1.7491146536445564e-05,True
CPDB,AUPRC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,50-fold value,50,0.8591319218000001,0.02346219530790217,0.84362496,0.022243246825911018,0.015506961800000005,0.015288590000000046,0.012714570000000036,0.01777171500000002,0.9780392156862745,1.7569391573831783e-09,3.5138783147663566e-08,True,8.784695786915892e-09,True
CPDB,AUPRC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,50-fold value,50,0.8591319218000001,0.02346219530790217,0.8397671502000001,0.02150857983079399,0.019364771600000007,0.019167959999999984,0.01149418499999999,0.026586025000000013,0.716078431372549,1.0494687921867338e-05,3.22913474518995e-05,True,1.7491146536445564e-05,True
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,50-fold value,50,0.8543471734000002,0.02310963892544603,0.84362496,0.022243246825911018,0.010722213399999996,0.010521639999999999,0.007468179999999935,0.01352983499999999,0.8776470588235294,6.626694610360077e-08,8.835592813813435e-07,True,2.2088982034533589e-07,True
CPDB,AUPRC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,50-fold value,50,0.8543471734000002,0.02310963892544603,0.8397671502000001,0.02150857983079399,0.014580023199999997,0.014294250000000008,0.007462854999999935,0.021380449999999995,0.6,0.00022216596965950796,0.000444331939319016,True,0.0002662793552005141,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,50-fold value,50,0.8539629846,0.023806087464464224,0.84362496,0.022243246825911018,0.010338024599999995,0.010575705000000046,0.007456214999999988,0.013745929999999962,0.8352941176470589,2.741966763304474e-07,1.827977842202983e-06,True,6.854916908261186e-07,True
CPDB,AUPRC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,50-fold value,50,0.8539629846,0.023806087464464224,0.8397671502000001,0.02150857983079399,0.014195834399999996,0.013954330000000015,0.007361225000000027,0.02115603999999993,0.5968627450980392,0.0002396514196804627,0.0004564788946294528,True,0.0002662793552005141,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,50-fold value,50,0.8518394634,0.022879851396967125,0.84362496,0.022243246825911018,0.008214503399999993,0.008092109999999986,0.005013680000000076,0.011435240000000013,0.6815686274509803,2.736556694605399e-05,6.841391736513497e-05,True,3.909366706579141e-05,True
CPDB,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,50-fold value,50,0.8518394634,0.022879851396967125,0.8397671502000001,0.02150857983079399,0.012072313199999993,0.011802900000000005,0.004960709999999924,0.01877672499999994,0.5152941176470588,0.0015186178609486684,0.0022498042384424717,True,0.0015186178609486684,True
CPDB,AUC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,50-fold value,50,0.9305175896000002,0.012814179337501251,0.92384068,0.013296734380200275,0.006676909600000005,0.006475300000000073,0.004626480000000044,0.008444653000000005,0.8509803921568627,1.6329285453687908e-07,1.3063428362950326e-06,True,8.164642726843953e-07,True
CPDB,AUC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,50-fold value,50,0.9305175896000002,0.012814179337501251,0.9184688304,0.020312462763232328,0.012048759199999998,0.010893975,0.005103214999999994,0.017437129999999967,0.5701960784313725,0.0004498510581506042,0.0007497517635843403,True,0.0007497517635843403,True
CPDB,AUC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,50-fold value,50,0.9309549456,0.013105399211527308,0.92384068,0.013296734380200275,0.007114265600000005,0.007210735000000079,0.0052406749999999724,0.009036509999999998,0.8635294117647059,1.0716814626572519e-07,1.071681462657252e-06,True,8.164642726843953e-07,True
CPDB,AUC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,50-fold value,50,0.9309549456,0.013105399211527308,0.9184688304,0.020312462763232328,0.012486115199999998,0.010939819999999989,0.005031630000000009,0.01848211500000002,0.5796078431372549,0.00036124789141527334,0.0006568143480277697,True,0.0007224957828305467,True
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,50-fold value,50,0.9293662327999997,0.013300198195404915,0.92384068,0.013296734380200275,0.0055255528000000085,0.005432225000000013,0.0035453500000000027,0.007404305000000055,0.7537254901960785,3.5111606357238997e-06,1.4044642542895599e-05,True,1.1703868785746333e-05,True
CPDB,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,50-fold value,50,0.9293662327999997,0.013300198195404915,0.9184688304,0.020312462763232328,0.010897402400000002,0.009150199999999997,0.003686652750000029,0.016293640000000054,0.4980392156862745,0.002177311550955709,0.0029030820679409454,True,0.0024192350566174543,True
