Run,Fold,Dataset,Metric,BIMODriver-Original,BIMODriver-Masking,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Masking (Mask All Graph Edges),DISFusion,MNGCL
1,1,CPDB,AUPRC,0.85451473,0.85794921,0.85039527,0.84687653,0.8510471,0.84559,0.81463485
1,1,CPDB,AUC,0.93087505,0.93150685,0.93183711,0.92906579,0.92886477,0.928592,0.88686484
1,1,STRING,AUPRC,0.83533106,0.83414368,0.83323843,0.8332592,0.83120844,0.812532,0.82155472
1,1,STRING,AUC,0.92662631,0.92330313,0.92253828,0.92249871,0.91881948,0.91783,0.9223941
1,2,CPDB,AUPRC,0.86229713,0.86390563,0.86837161,0.8591139,0.86102057,0.854397,0.86920769
1,2,CPDB,AUC,0.92909451,0.9292381,0.93235404,0.92735705,0.93248327,0.928664,0.93960874
1,2,STRING,AUPRC,0.83142736,0.8346679,0.83310754,0.83625145,0.83152612,0.821237,0.81698021
1,2,STRING,AUC,0.92586146,0.92658675,0.92616476,0.92483285,0.92501747,0.927787,0.92206667
1,3,CPDB,AUPRC,0.86754929,0.86321848,0.85894768,0.86090341,0.86099298,0.851754,0.84275703
1,3,CPDB,AUC,0.92858982,0.92439931,0.92580092,0.92418478,0.9229262,0.925072,0.93507891
1,3,STRING,AUPRC,0.87196338,0.8696686,0.87403632,0.87347399,0.87300349,0.844231,0.81281728
1,3,STRING,AUC,0.94334771,0.94213448,0.94694782,0.94632802,0.94615659,0.923791,0.9151606
1,4,CPDB,AUPRC,0.8629774,0.8715777,0.85694002,0.8546989,0.85852753,0.843431,0.82929953
1,4,CPDB,AUC,0.94217291,0.94641855,0.94030194,0.94080566,0.94441806,0.931235,0.91056057
1,4,STRING,AUPRC,0.84983473,0.84744582,0.85154295,0.84811553,0.84494816,0.85627,0.80460322
1,4,STRING,AUC,0.92760259,0.92599671,0.92930137,0.92802729,0.92732388,0.941697,0.91571044
1,5,CPDB,AUPRC,0.83341708,0.83941647,0.84528688,0.83506998,0.82857306,0.818816,0.86415289
1,5,CPDB,AUC,0.91616654,0.92118936,0.9225566,0.92012435,0.91749061,0.907243,0.93121029
1,5,STRING,AUPRC,0.82676524,0.82829,0.80631092,0.81445157,0.81858766,0.799276,0.82593252
1,5,STRING,AUC,0.92662048,0.92626214,0.91827255,0.91999788,0.92160376,0.908478,0.9225811
2,1,CPDB,AUPRC,0.82360944,0.83210761,0.81826762,0.81462613,0.81378727,0.811549,0.81146955
