Run,Original Transductive BIMODriver (AUROC),Original Transductive BIMODriver (AUPRC),Masked Transductive (AUROC),Masked Transductive (AUPRC),Masked Inductive (AUROC),Masked Inductive (AUPRC)
1,0.929379766,0.856151126,0.9305620000000001,0.8590389999999999,0.9297214,0.8552378
2,0.931816978,0.86143562,0.9306128000000001,0.8591156,0.9310241999999999,0.8602736
3,0.9313185239999999,0.859341526,0.9307058000000001,0.8572443999999999,0.931306,0.8577201999999999
4,0.93255669,0.861163464,0.9319402,0.8603498,0.9328008000000001,0.8635759999999999
5,0.9330230700000002,0.863399806,0.929775,0.8573886,0.9306249999999998,0.8589768
6,0.929213538,0.855650704,0.9288168000000001,0.8573894,0.9300416,0.8595888
7,0.92832124,0.8551419140000001,0.9284725999999999,0.8546296,0.9283414000000001,0.8538267999999999
8,0.931069866,0.8644169180000001,0.9322998,0.8646588000000002,0.9314924000000001,0.8646382000000001
9,0.927967526,0.854584318,0.929737,0.855291,0.9284176000000001,0.8551738
10,0.930508698,0.8550702360000001,0.9298904,0.854162,0.9295273999999999,0.8563775999999999
