Configuration,Metric,Run,Fold,Fold value,Run mean
Original Transductive,AUROC,1,1,0.926984,0.9310074
Original Transductive,AUROC,1,2,0.93043,0.9310074
Original Transductive,AUROC,1,3,0.928461,0.9310074
Original Transductive,AUROC,1,4,0.945166,0.9310074
Original Transductive,AUROC,1,5,0.923996,0.9310074
Original Transductive,AUROC,2,1,0.916573,0.9310824
Original Transductive,AUROC,2,2,0.939117,0.9310824
Original Transductive,AUROC,2,3,0.942677,0.9310824
Original Transductive,AUROC,2,4,0.923147,0.9310824
Original Transductive,AUROC,2,5,0.933898,0.9310824
Original Transductive,AUROC,3,1,0.93132,0.9312805999999998
Original Transductive,AUROC,3,2,0.937681,0.9312805999999998
Original Transductive,AUROC,3,3,0.929105,0.9312805999999998
Original Transductive,AUROC,3,4,0.917203,0.9312805999999998
Original Transductive,AUROC,3,5,0.941094,0.9312805999999998
Original Transductive,AUROC,4,1,0.924686,0.9318702
Original Transductive,AUROC,4,2,0.953232,0.9318702
Original Transductive,AUROC,4,3,0.939831,0.9318702
Original Transductive,AUROC,4,4,0.917059,0.9318702
Original Transductive,AUROC,4,5,0.924543,0.9318702
Original Transductive,AUROC,5,1,0.916961,0.9308796000000001
Original Transductive,AUROC,5,2,0.95115,0.9308796000000001
Original Transductive,AUROC,5,3,0.945981,0.9308796000000001
Original Transductive,AUROC,5,4,0.913993,0.9308796000000001
Original Transductive,AUROC,5,5,0.926313,0.9308796000000001
Original Transductive,AUROC,6,1,0.894087,0.9289288000000001
Original Transductive,AUROC,6,2,0.936432,0.9289288000000001
Original Transductive,AUROC,6,3,0.915661,0.9289288000000001
Original Transductive,AUROC,6,4,0.957702,0.9289288000000001
Original Transductive,AUROC,6,5,0.940762,0.9289288000000001
Original Transductive,AUROC,7,1,0.916502,0.9286161999999999
Original Transductive,AUROC,7,2,0.923078,0.9286161999999999
Original Transductive,AUROC,7,3,0.943636,0.9286161999999999
Original Transductive,AUROC,7,4,0.931955,0.9286161999999999
Original Transductive,AUROC,7,5,0.92791,0.9286161999999999
Original Transductive,AUROC,8,1,0.945105,0.9326108
Original Transductive,AUROC,8,2,0.912538,0.9326108
Original Transductive,AUROC,8,3,0.937271,0.9326108
Original Transductive,AUROC,8,4,0.927579,0.9326108
Original Transductive,AUROC,8,5,0.940561,0.9326108
Original Transductive,AUROC,9,1,0.928879,0.929476
Original Transductive,AUROC,9,2,0.932354,0.929476
Original Transductive,AUROC,9,3,0.940789,0.929476
Original Transductive,AUROC,9,4,0.904898,0.929476
Original Transductive,AUROC,9,5,0.94046,0.929476
Original Transductive,AUROC,10,1,0.915209,0.929819
Original Transductive,AUROC,10,2,0.927472,0.929819
Original Transductive,AUROC,10,3,0.92889,0.929819
Original Transductive,AUROC,10,4,0.952852,0.929819
Original Transductive,AUROC,10,5,0.924672,0.929819
Original Transductive,AUPRC,1,1,0.846329,0.8595535999999999
Original Transductive,AUPRC,1,2,0.870629,0.8595535999999999
Original Transductive,AUPRC,1,3,0.869076,0.8595535999999999
Original Transductive,AUPRC,1,4,0.867238,0.8595535999999999
Original Transductive,AUPRC,1,5,0.844496,0.8595535999999999
Original Transductive,AUPRC,2,1,0.821836,0.8603296
Original Transductive,AUPRC,2,2,0.886321,0.8603296
Original Transductive,AUPRC,2,3,0.876015,0.8603296
Original Transductive,AUPRC,2,4,0.853444,0.8603296
Original Transductive,AUPRC,2,5,0.864032,0.8603296
Original Transductive,AUPRC,3,1,0.847427,0.8576186
Original Transductive,AUPRC,3,2,0.864797,0.8576186
Original Transductive,AUPRC,3,3,0.85041,0.8576186
Original Transductive,AUPRC,3,4,0.83483,0.8576186
Original Transductive,AUPRC,3,5,0.890629,0.8576186
Original Transductive,AUPRC,4,1,0.851018,0.8598954000000001
Original Transductive,AUPRC,4,2,0.904111,0.8598954000000001
Original Transductive,AUPRC,4,3,0.859941,0.8598954000000001
Original Transductive,AUPRC,4,4,0.841503,0.8598954000000001
Original Transductive,AUPRC,4,5,0.842904,0.8598954000000001
Original Transductive,AUPRC,5,1,0.849483,0.8584244
Original Transductive,AUPRC,5,2,0.882729,0.8584244
Original Transductive,AUPRC,5,3,0.891626,0.8584244
Original Transductive,AUPRC,5,4,0.821982,0.8584244
Original Transductive,AUPRC,5,5,0.846302,0.8584244
Original Transductive,AUPRC,6,1,0.816059,0.857596
Original Transductive,AUPRC,6,2,0.861719,0.857596
Original Transductive,AUPRC,6,3,0.827727,0.857596
Original Transductive,AUPRC,6,4,0.907546,0.857596
Original Transductive,AUPRC,6,5,0.874929,0.857596
Original Transductive,AUPRC,7,1,0.828484,0.855313
Original Transductive,AUPRC,7,2,0.846196,0.855313
Original Transductive,AUPRC,7,3,0.883644,0.855313
Original Transductive,AUPRC,7,4,0.870461,0.855313
Original Transductive,AUPRC,7,5,0.84778,0.855313
Original Transductive,AUPRC,8,1,0.877508,0.8652329999999999
Original Transductive,AUPRC,8,2,0.853708,0.8652329999999999
Original Transductive,AUPRC,8,3,0.868122,0.8652329999999999
Original Transductive,AUPRC,8,4,0.861338,0.8652329999999999
Original Transductive,AUPRC,8,5,0.865489,0.8652329999999999
Original Transductive,AUPRC,9,1,0.82263,0.8545865999999999
