Method,Task,Metric,Run,Fixed-test value
BIMODriver,Clean -> Hit,AUROC,1,0.928439
BIMODriver,Clean -> Hit,AUROC,2,0.931373
BIMODriver,Clean -> Hit,AUROC,3,0.933745
BIMODriver,Clean -> Hit,AUROC,4,0.924707
BIMODriver,Clean -> Hit,AUROC,5,0.928489
BIMODriver,Clean -> Hit,AUROC,6,0.92774
BIMODriver,Clean -> Hit,AUROC,7,0.932509
BIMODriver,Clean -> Hit,AUROC,8,0.927041
BIMODriver,Clean -> Hit,AUROC,9,0.924644
BIMODriver,Clean -> Hit,AUROC,10,0.928427
BIMODriver,Clean -> Hit,AUPRC,1,0.897476
BIMODriver,Clean -> Hit,AUPRC,2,0.903874
BIMODriver,Clean -> Hit,AUPRC,3,0.911539
BIMODriver,Clean -> Hit,AUPRC,4,0.89295
BIMODriver,Clean -> Hit,AUPRC,5,0.901705
BIMODriver,Clean -> Hit,AUPRC,6,0.899654
BIMODriver,Clean -> Hit,AUPRC,7,0.906816
BIMODriver,Clean -> Hit,AUPRC,8,0.901165
BIMODriver,Clean -> Hit,AUPRC,9,0.898842
BIMODriver,Clean -> Hit,AUPRC,10,0.898825
BIMODriver,Hit -> Clean,AUROC,1,0.899646
BIMODriver,Hit -> Clean,AUROC,2,0.898205
BIMODriver,Hit -> Clean,AUROC,3,0.90253
BIMODriver,Hit -> Clean,AUROC,4,0.896408
BIMODriver,Hit -> Clean,AUROC,5,0.900419
BIMODriver,Hit -> Clean,AUROC,6,0.903472
BIMODriver,Hit -> Clean,AUROC,7,0.896087
BIMODriver,Hit -> Clean,AUROC,8,0.904932
BIMODriver,Hit -> Clean,AUROC,9,0.896358
BIMODriver,Hit -> Clean,AUROC,10,0.895806
BIMODriver,Hit -> Clean,AUPRC,1,0.783807
BIMODriver,Hit -> Clean,AUPRC,2,0.779712
BIMODriver,Hit -> Clean,AUPRC,3,0.782204
BIMODriver,Hit -> Clean,AUPRC,4,0.775835
BIMODriver,Hit -> Clean,AUPRC,5,0.783669
BIMODriver,Hit -> Clean,AUPRC,6,0.777812
BIMODriver,Hit -> Clean,AUPRC,7,0.777496
BIMODriver,Hit -> Clean,AUPRC,8,0.79102
BIMODriver,Hit -> Clean,AUPRC,9,0.772524
BIMODriver,Hit -> Clean,AUPRC,10,0.77065
DISFusion,Clean -> Hit,AUROC,1,0.926941
DISFusion,Clean -> Hit,AUROC,2,0.92774
DISFusion,Clean -> Hit,AUROC,3,0.926454
DISFusion,Clean -> Hit,AUROC,4,0.924869
DISFusion,Clean -> Hit,AUROC,5,0.925218
DISFusion,Clean -> Hit,AUROC,6,0.922185
DISFusion,Clean -> Hit,AUROC,7,0.927353
DISFusion,Clean -> Hit,AUROC,8,0.926517
DISFusion,Clean -> Hit,AUROC,9,0.923121
DISFusion,Clean -> Hit,AUROC,10,0.921598
DISFusion,Clean -> Hit,AUPRC,1,0.896147
DISFusion,Clean -> Hit,AUPRC,2,0.90233
DISFusion,Clean -> Hit,AUPRC,3,0.895313
DISFusion,Clean -> Hit,AUPRC,4,0.894396
DISFusion,Clean -> Hit,AUPRC,5,0.898744
DISFusion,Clean -> Hit,AUPRC,6,0.890997
DISFusion,Clean -> Hit,AUPRC,7,0.897565
DISFusion,Clean -> Hit,AUPRC,8,0.898719
DISFusion,Clean -> Hit,AUPRC,9,0.892455
DISFusion,Clean -> Hit,AUPRC,10,0.885103
DISFusion,Hit -> Clean,AUROC,1,0.889085
DISFusion,Hit -> Clean,AUROC,2,0.893743
DISFusion,Hit -> Clean,AUROC,3,0.886959
DISFusion,Hit -> Clean,AUROC,4,0.893107
DISFusion,Hit -> Clean,AUROC,5,0.88842
DISFusion,Hit -> Clean,AUROC,6,0.893336
DISFusion,Hit -> Clean,AUROC,7,0.885992
DISFusion,Hit -> Clean,AUROC,8,0.884888
DISFusion,Hit -> Clean,AUROC,9,0.892271
DISFusion,Hit -> Clean,AUROC,10,0.867887
DISFusion,Hit -> Clean,AUPRC,1,0.776084
DISFusion,Hit -> Clean,AUPRC,2,0.779516
DISFusion,Hit -> Clean,AUPRC,3,0.763446
DISFusion,Hit -> Clean,AUPRC,4,0.775691
DISFusion,Hit -> Clean,AUPRC,5,0.762765
DISFusion,Hit -> Clean,AUPRC,6,0.78045
DISFusion,Hit -> Clean,AUPRC,7,0.767042
DISFusion,Hit -> Clean,AUPRC,8,0.758573
DISFusion,Hit -> Clean,AUPRC,9,0.772974
DISFusion,Hit -> Clean,AUPRC,10,0.731006
MNGCL,Clean -> Hit,AUROC,1,0.928477
MNGCL,Clean -> Hit,AUROC,2,0.935693
