Task,Task Display,Task Description,Paradigm,Paradigm (CN),Model,Model Role,Metric,N,Mean,SD (ddof=0),SD (ddof=1),Median,Min,Max,Mean ± SD
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,BIMODriver,本文模型,AUROC,10,0.9287892,0.003159691434301792,0.0033306072119059804,0.9283835,0.923708,0.93437,0.9288 ± 0.0032
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,MNGCL,对比基准,AUROC,10,0.9244582000000001,0.003322659320484106,0.0035023904471723787,0.9250935,0.916667,0.928677,0.9245 ± 0.0033
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,DISFusion,对比基准,AUROC,10,0.9247216000000001,0.0019497287093336903,0.0020551945136382853,0.924382,0.92191,0.927216,0.9247 ± 0.0019
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,BIMODriver,本文模型,AUPRC,10,0.901404,0.0050602758422837076,0.005333999083447833,0.9003749999999999,0.893187,0.912194,0.9014 ± 0.0051
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,MNGCL,对比基准,AUPRC,10,0.8952559000000001,0.0048247361679163376,0.00508571846666941,0.8979155000000001,0.885422,0.899039,0.8953 ± 0.0048
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Transductive,传导式,DISFusion,对比基准,AUPRC,10,0.8950761,0.004637014286154395,0.00488784222899589,0.8957265,0.886097,0.903815,0.8951 ± 0.0046
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,BIMODriver,本文模型,AUROC,10,0.9300374,0.002643619723031304,0.0027866198640408035,0.9294755,0.925905,0.935243,0.9300 ± 0.0026
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,MNGCL,对比基准,AUROC,10,0.9243147,0.003051905603061785,0.003216990969834996,0.924844,0.91834,0.928677,0.9243 ± 0.0031
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,DISFusion,对比基准,AUROC,10,0.9254969000000001,0.002260130635604946,0.00238238687267856,0.925618,0.921773,0.92819,0.9255 ± 0.0023
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,BIMODriver,本文模型,AUPRC,10,0.9028694999999999,0.004655416699931377,0.004907240076322597,0.9013255,0.898106,0.913724,0.9029 ± 0.0047
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,MNGCL,对比基准,AUPRC,10,0.8952791000000001,0.0048700436846090015,0.005133476782627715,0.8959165,0.885718,0.901011,0.8953 ± 0.0049
clean_to_hit,Clean → Hit,"Clean (2,402) -> Hit (581)",Strict Inductive,严格归纳式,DISFusion,对比基准,AUPRC,10,0.8947585,0.004840880173067709,0.005102735742281352,0.8966050000000001,0.884162,0.901661,0.8948 ± 0.0048
