Run,Task,Task Display,Paradigm,Metric,BIMODriver,MNGCL,DISFusion,Diff (BM - MNGCL),Diff (BM - DISFusion)
1,clean_to_hit,Clean → Hit,Transductive,AUROC,0.929001,0.923096,0.926729,0.005904999999999938,0.0022719999999999407
1,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.898312,0.893751,0.896879,0.004561000000000037,0.0014330000000000176
1,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.930811,0.925318,0.927503,0.005493000000000081,0.0033080000000000886
1,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.901979,0.895363,0.897406,0.006615999999999955,0.004572999999999938
1,hit_to_clean,Hit → Clean,Transductive,AUROC,0.901272,0.882033,0.880035,0.019239000000000006,0.02123699999999995
1,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.784097,0.756858,0.761589,0.027239000000000013,0.022508000000000083
1,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.900557,0.880452,0.892854,0.02010500000000004,0.007703000000000015
1,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.784146,0.757921,0.781866,0.026225000000000054,0.0022800000000000598
2,clean_to_hit,Clean → Hit,Transductive,AUROC,0.931586,0.928677,0.927216,0.0029090000000000504,0.004369999999999985
2,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.904166,0.898524,0.903815,0.005642000000000036,0.0003509999999999902
2,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.930999,0.927603,0.92819,0.0033960000000000656,0.0028090000000000614
2,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.900988,0.898935,0.901661,0.0020529999999999715,-0.0006730000000000347
2,hit_to_clean,Hit → Clean,Transductive,AUROC,0.898158,0.89214,0.897539,0.006017999999999968,0.0006190000000000362
2,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.779773,0.770777,0.783722,0.008996000000000004,-0.00394899999999998
2,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.902129,0.890369,0.897187,0.011759999999999993,0.004942000000000002
2,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.779461,0.768744,0.784621,0.010716999999999977,-0.005160000000000053
3,clean_to_hit,Clean → Hit,Transductive,AUROC,0.93437,0.925006,0.927203,0.009364000000000039,0.0071670000000000345
3,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.912194,0.89773,0.898415,0.014463999999999921,0.013778999999999986
3,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.935243,0.924919,0.921773,0.010324,0.013470000000000093
3,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.913724,0.898292,0.884162,0.015432000000000001,0.029561999999999977
3,hit_to_clean,Hit → Clean,Transductive,AUROC,0.902145,0.885115,0.87926,0.01702999999999999,0.022884999999999933
3,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.779255,0.765335,0.748238,0.013920000000000043,0.031017000000000072
3,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.900567,0.881452,0.882162,0.019114999999999993,0.018405000000000005
3,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.77911,0.759519,0.755964,0.019590999999999914,0.023146
4,clean_to_hit,Clean → Hit,Transductive,AUROC,0.924707,0.924669,0.923783,3.799999999998249e-05,0.0009239999999999249
4,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.893187,0.895355,0.896104,-0.0021680000000000588,-0.0029170000000000584
4,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.929126,0.924507,0.922409,0.00461900000000004,0.006716999999999973
4,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.898106,0.895309,0.890596,0.0027969999999999384,0.007509999999999906
4,hit_to_clean,Hit → Clean,Transductive,AUROC,0.896586,0.883676,0.891627,0.012909999999999977,0.004959000000000047
4,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.776137,0.762285,0.775547,0.013851999999999975,0.0005899999999999794
4,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.894002,0.885224,0.895696,0.008777999999999953,-0.0016940000000000843
4,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.772955,0.763878,0.779628,0.009077000000000002,-0.00667300000000004
5,clean_to_hit,Clean → Hit,Transductive,AUROC,0.927403,0.916667,0.923346,0.010735999999999968,0.004056999999999977
5,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.901118,0.885422,0.895349,0.015695999999999932,0.005769000000000024
5,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.928177,0.91834,0.92437,0.009836999999999985,0.003807000000000005
5,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.900464,0.887057,0.897243,0.013407000000000058,0.0032210000000000294
5,hit_to_clean,Hit → Clean,Transductive,AUROC,0.90128,0.878602,0.890091,0.022677999999999976,0.011189000000000004
5,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.780738,0.748921,0.766303,0.031817000000000095,0.014435000000000087
5,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.90066,0.881113,0.893997,0.01954699999999998,0.0066629999999999745
5,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.781537,0.748771,0.772912,0.03276600000000007,0.008624999999999994
6,clean_to_hit,Clean → Hit,Transductive,AUROC,0.927703,0.920911,0.923608,0.00679200000000002,0.004095000000000071
6,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.899632,0.886957,0.892848,0.012674999999999992,0.006784000000000012
6,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.92829,0.91975,0.92367,0.008539999999999992,0.0046199999999999575
6,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.899989,0.885718,0.891795,0.014271000000000034,0.008194000000000035
6,hit_to_clean,Hit → Clean,Transductive,AUROC,0.903526,0.881005,0.891589,0.022521000000000013,0.011937000000000086
6,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.778143,0.752888,0.77465,0.025255000000000027,0.0034930000000000794
6,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.90399,0.877536,0.895498,0.026453999999999978,0.008491999999999944
6,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.778663,0.751646,0.781278,0.027016999999999958,-0.002615000000000034
7,clean_to_hit,Clean → Hit,Transductive,AUROC,0.932647,0.926492,0.924981,0.0061550000000000216,0.007665999999999951
7,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.906769,0.899039,0.89126,0.007730000000000015,0.015508999999999995
7,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.933733,0.924769,0.927865,0.008964000000000083,0.005867999999999984
7,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.908037,0.89647,0.896483,0.011566999999999994,0.011553999999999953
7,hit_to_clean,Hit → Clean,Transductive,AUROC,0.895828,0.891976,0.888387,0.0038519999999999666,0.00744099999999992
7,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.777831,0.774374,0.769606,0.0034570000000000434,0.008225000000000038
7,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.896908,0.893439,0.892955,0.0034690000000000554,0.003952999999999984
7,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.771132,0.776614,0.775964,-0.005481999999999987,-0.0048319999999999474
8,clean_to_hit,Clean → Hit,Transductive,AUROC,0.928265,0.926692,0.926355,0.0015730000000000466,0.0019099999999999673
8,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.902342,0.898719,0.898385,0.003622999999999932,0.003956999999999988
8,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.929825,0.923059,0.927953,0.00676600000000005,0.0018719999999999848
8,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.905591,0.894757,0.899381,0.01083400000000001,0.006210000000000049
8,hit_to_clean,Hit → Clean,Transductive,AUROC,0.895406,0.884968,0.887983,0.010438000000000058,0.007423000000000068
8,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.765048,0.767381,0.766457,-0.0023330000000000295,-0.0014090000000001046
8,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.901909,0.882948,0.887039,0.018961000000000006,0.014869999999999939
8,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.778766,0.761623,0.763754,0.01714299999999991,0.015011999999999914
9,clean_to_hit,Clean → Hit,Transductive,AUROC,0.923708,0.925181,0.922085,-0.0014730000000000576,0.00162299999999993
9,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.897453,0.898961,0.891609,-0.0015080000000000648,0.00584399999999996
9,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.925905,0.926205,0.925868,-0.00029999999999996696,3.6999999999953737e-05
9,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.901663,0.899879,0.896727,0.0017840000000000078,0.0049359999999999404
9,hit_to_clean,Hit → Clean,Transductive,AUROC,0.896377,0.876249,0.890155,0.020128000000000035,0.00622199999999995
9,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.772573,0.745679,0.769225,0.026893999999999973,0.0033479999999999066
9,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.90004,0.882261,0.893863,0.01777899999999999,0.006176999999999988
9,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.780359,0.76046,0.776885,0.019899,0.003473999999999977
10,clean_to_hit,Clean → Hit,Transductive,AUROC,0.928502,0.927191,0.92191,0.0013110000000000621,0.006592000000000042
10,clean_to_hit,Clean → Hit,Transductive,AUPRC,0.898867,0.898101,0.886097,0.0007659999999999334,0.012769999999999948
10,clean_to_hit,Clean → Hit,Strict Inductive,AUROC,0.928265,0.928677,0.925368,-0.00041199999999996795,0.0028970000000000384
10,clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,0.898154,0.901011,0.892131,-0.0028569999999999984,0.006023000000000001
10,hit_to_clean,Hit → Clean,Transductive,AUROC,0.895754,0.879573,0.874343,0.016181,0.02141100000000007
10,hit_to_clean,Hit → Clean,Transductive,AUPRC,0.770602,0.759343,0.740542,0.011259000000000019,0.030059999999999976
10,hit_to_clean,Hit → Clean,Strict Inductive,AUROC,0.897009,0.875845,0.873124,0.02116399999999996,0.023884999999999934
10,hit_to_clean,Hit → Clean,Strict Inductive,AUPRC,0.771936,0.756771,0.738436,0.015164999999999984,0.033499999999999974
