Task,Task Display,Paradigm,Metric,Comparison,Candidate,Baseline,N,BIMODriver Mean,BIMODriver SD (ddof=0),Baseline Mean,Baseline SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,"Wilcoxon p (one-sided, greater)",Wilcoxon p (two-sided),"BH q (one-sided, Global, m=16)",Significant One-Sided Global (q<0.05),"BH q (one-sided, By-Paradigm, m=8)",Significant One-Sided By-Paradigm (q<0.05),"BH q (two-sided, Global, m=16)",Significant Two-Sided Global (q<0.05),"BH q (two-sided, By-Paradigm, m=8)",Significant Two-Sided By-Paradigm (q<0.05)
clean_to_hit,Clean → Hit,Transductive,AUROC,BIMODriver - MNGCL,BIMODriver,MNGCL,10,0.9287892,0.003159691434301792,0.9244582000000001,0.003322659320484106,0.004331000000000007,0.004182500000000033,0.0014735000000000165,0.00679200000000002,0.8909090909090909,0.0048828125,0.009765625,0.006510416666666667,True,0.006510416666666667,True,0.013020833333333334,True,0.013020833333333334,True
clean_to_hit,Clean → Hit,Transductive,AUROC,BIMODriver - DISFusion,BIMODriver,DISFusion,10,0.9287892,0.003159691434301792,0.9247216000000001,0.0019497287093336903,0.004067599999999982,0.004107499999999986,0.0022719999999999407,0.005631000000000053,1.0,0.0009765625,0.001953125,0.003125,True,0.0026041666666666665,True,0.00625,True,0.005208333333333333,True
clean_to_hit,Clean → Hit,Transductive,AUPRC,BIMODriver - MNGCL,BIMODriver,MNGCL,10,0.901404,0.0050602758422837076,0.8952559000000001,0.0048247361679163376,0.006148099999999967,0.006145500000000026,0.0015264999999999862,0.010128499999999985,0.8181818181818182,0.009765625,0.01953125,0.011160714285714286,True,0.011160714285714286,True,0.022321428571428572,True,0.022321428571428572,True
clean_to_hit,Clean → Hit,Transductive,AUPRC,BIMODriver - DISFusion,BIMODriver,DISFusion,10,0.901404,0.0050602758422837076,0.8950761,0.004637014286154395,0.006327899999999986,0.006276500000000018,0.0021539999999999893,0.009811499999999973,0.8909090909090909,0.0048828125,0.009765625,0.006510416666666667,True,0.006510416666666667,True,0.013020833333333334,True,0.013020833333333334,True
clean_to_hit,Clean → Hit,Strict Inductive,AUROC,BIMODriver - MNGCL,BIMODriver,MNGCL,10,0.9300374,0.002643619723031304,0.9243147,0.003051905603061785,0.005722700000000036,0.005968000000000029,0.0032330000000000414,0.008545000000000025,0.8909090909090909,0.0048828125,0.009765625,0.006510416666666667,True,0.006510416666666667,True,0.013020833333333334,True,0.013020833333333334,True
clean_to_hit,Clean → Hit,Strict Inductive,AUROC,BIMODriver - DISFusion,BIMODriver,DISFusion,10,0.9300374,0.002643619723031304,0.9254969000000001,0.002260130635604946,0.004540500000000014,0.0038699999999999846,0.0025900000000000367,0.006716999999999973,1.0,0.0009765625,0.001953125,0.003125,True,0.003125,True,0.00625,True,0.00625,True
clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,BIMODriver - MNGCL,BIMODriver,MNGCL,10,0.9028694999999999,0.004655416699931377,0.8952791000000001,0.0048700436846090015,0.007590399999999997,0.007730000000000015,0.0027969999999999384,0.012487000000000026,0.8545454545454545,0.0068359375,0.013671875,0.008413461538461538,True,0.0078125,True,0.016826923076923076,True,0.015625,True
clean_to_hit,Clean → Hit,Strict Inductive,AUPRC,BIMODriver - DISFusion,BIMODriver,DISFusion,10,0.9028694999999999,0.004655416699931377,0.8947585,0.004840880173067709,0.00811099999999998,0.006222999999999923,0.004078499999999985,0.011553999999999953,0.9636363636363636,0.001953125,0.00390625,0.003472222222222222,True,0.003125,True,0.006944444444444444,True,0.00625,True
hit_to_clean,Hit → Clean,Transductive,AUROC,BIMODriver - MNGCL,BIMODriver,MNGCL,10,0.8986332000000001,0.0029380620755865556,0.8835336999999999,0.005016382083733265,0.015099499999999998,0.015283000000000047,0.011083037499999998,0.01968350000000002,1.0,0.0009765625,0.001953125,0.003125,True,0.0026041666666666665,True,0.00625,True,0.005208333333333333,True
hit_to_clean,Hit → Clean,Transductive,AUROC,BIMODriver - DISFusion,BIMODriver,DISFusion,10,0.8986332000000001,0.0029380620755865556,0.8871008999999999,0.006666735339729622,0.011532300000000006,0.011189000000000004,0.00622199999999995,0.016300000000000037,1.0,0.0009765625,0.001953125,0.003125,True,0.0026041666666666665,True,0.00625,True,0.005208333333333333,True
