Code_Index,Gene_ID,Gene_Name,Gene_Label
0,ENSG00000167323,STIM1,Unknown
1,ENSG00000144935,TRPC1,Unknown
2,ENSG00000089250,NOS1,Unknown
3,ENSG00000058668,ATP2B4,Unknown
4,ENSG00000069431,ABCC9,Unknown
5,ENSG00000187486,KCNJ11,Unknown
6,ENSG00000084754,HADHA,Unknown
7,ENSG00000138029,HADHB,Unknown
8,ENSG00000197265,GTF2E2,Unknown
9,ENSG00000153767,GTF2E1,Unknown
10,ENSG00000140307,GTF2A2,Unknown
11,ENSG00000165417,GTF2A1,Unknown
12,ENSG00000162738,VANGL2,Unknown
13,ENSG00000274287,SCRIB,Unknown
14,ENSG00000004975,DVL2,Unknown
15,ENSG00000102981,PARD6A,Non-driver
16,ENSG00000177885,GRB2,Unknown
17,ENSG00000109458,GAB1,Unknown
18,ENSG00000146648,EGFR,Driver
19,ENSG00000138798,EGF,Driver
20,ENSG00000121879,PIK3CA,Driver
21,ENSG00000145675,PIK3R1,Driver
22,ENSG00000197122,SRC,Driver
23,ENSG00000089159,PXN,Unknown
24,ENSG00000137392,CLPS,Unknown
25,ENSG00000175535,PNLIP,Unknown
26,ENSG00000078369,GNB1,Unknown
27,ENSG00000127928,GNGT1,Unknown
28,ENSG00000198515,CNGA1,Unknown
29,ENSG00000070729,CNGB1,Unknown
30,ENSG00000257365,FNTB,Unknown
31,ENSG00000168522,FNTA,Unknown
32,ENSG00000113522,RAD50,Unknown
33,ENSG00000020922,MRE11,Non-driver
34,ENSG00000182481,KPNA2,Unknown
35,ENSG00000104320,NBN,Driver
36,ENSG00000172977,KAT5,Unknown
37,ENSG00000149311,ATM,Driver
38,ENSG00000009954,BAZ1B,Unknown
39,ENSG00000153147,SMARCA5,Unknown
40,ENSG00000103275,UBE2I,Unknown
41,ENSG00000116030,SUMO1,Unknown
42,ENSG00000169139,UBE2V2,Unknown
43,ENSG00000177889,UBE2N,Unknown
44,ENSG00000138376,BARD1,Driver
45,ENSG00000012048,BRCA1,Driver
46,ENSG00000188612,SUMO2,Non-driver
47,ENSG00000225589,MDC1,Unknown
48,ENSG00000128731,HERC2,Unknown
49,ENSG00000164053,ATRIP,Unknown
50,ENSG00000175054,ATR,Driver
51,ENSG00000111602,TIMELESS,Unknown
52,ENSG00000075131,TIPIN,Unknown
53,ENSG00000163605,PPP4R2,Unknown
54,ENSG00000149923,PPP4C,Unknown
55,ENSG00000108384,RAD51C,Unknown
56,ENSG00000126215,XRCC3,Driver
57,ENSG00000197774,EME2,Unknown
58,ENSG00000172732,MUS81,Unknown
59,ENSG00000154920,EME1,Unknown
60,ENSG00000139618,BRCA2,Driver
61,ENSG00000051180,RAD51,Driver
62,ENSG00000175595,ERCC4,Driver
63,ENSG00000012061,ERCC1,Driver
64,ENSG00000073050,XRCC1,Driver
65,ENSG00000005156,LIG3,Unknown
66,ENSG00000196419,XRCC6,Driver
67,ENSG00000079246,XRCC5,Unknown
68,ENSG00000152422,XRCC4,Unknown
69,ENSG00000174405,LIG4,Unknown
70,ENSG00000049860,HEXB,Unknown
71,ENSG00000213614,HEXA,Unknown
72,ENSG00000151348,EXT2,Driver
73,ENSG00000182197,EXT1,Driver
74,ENSG00000115904,SOS1,Unknown
75,ENSG00000170312,CDK1,Unknown
76,ENSG00000134057,CCNB1,Unknown
77,ENSG00000165494,PCF11,Unknown
78,ENSG00000172409,CLP1,Driver
79,ENSG00000187079,TEAD1,Unknown
80,ENSG00000137693,YAP1,Unknown
81,ENSG00000074219,TEAD2,Unknown
82,ENSG00000007866,TEAD3,Unknown
83,ENSG00000197905,TEAD4,Unknown
84,ENSG00000132964,CDK8,Unknown
85,ENSG00000112237,CCNC,Driver
86,ENSG00000101665,SMAD7,Unknown
87,ENSG00000157450,RNF111,Unknown
88,ENSG00000284792,PTEN,Driver
89,ENSG00000141510,TP53,Driver
90,ENSG00000165699,TSC1,Driver
91,ENSG00000103197,TSC2,Driver
92,ENSG00000284194,SCO2,Unknown
93,ENSG00000048392,RRM2B,Unknown
94,ENSG00000135423,GLS2,Unknown
95,ENSG00000146674,IGFBP3,Driver
96,ENSG00000141682,PMAIP1,Unknown
97,ENSG00000015475,BID,Unknown
98,ENSG00000120471,TP53AIP1,Unknown
99,ENSG00000197050,ZNF420,Unknown
100,ENSG00000115107,STEAP3,Unknown
101,ENSG00000104765,BNIP3L,Unknown
102,ENSG00000170855,TRIAP1,Unknown
103,ENSG00000042286,AIFM2,Non-driver
