Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000167323,STIM1,regulation of store-operated calcium entry,positive regulation of angiogenesis,activation of store-operated calcium channel activity,calcium ion binding,calcium channel regulator activity,microtubule plus-end binding,endoplasmic reticulum,plasma membrane raft,cytoskeleton
ENSG00000144935,TRPC1,calcium ion transmembrane transport,positive regulation of release of sequestered calcium ion into cytosol,regulation of cytosolic calcium ion concentration,store-operated calcium channel activity,calcium channel activity,monoatomic cation channel activity,plasma membrane,cation channel complex,membrane
ENSG00000089250,NOS1,positive regulation of transcription by rna polymerase ii,arginine catabolic process,positive regulation of dna-templated transcription,arginine binding,flavin adenine dinucleotide binding,nadp binding,nucleus,cytoskeleton,mitochondrion
ENSG00000058668,ATP2B4,regulation of transcription from rna polymerase ii promoter,negative regulation of calcineurin-nfat signaling cascade,calcium ion import across plasma membrane,p-type calcium transporter activity,atp hydrolysis activity,protein phosphatase 2b binding,plasma membrane,intracellular membrane-bounded organelle,caveola
ENSG00000069431,ABCC9,regulation of transcription by rna polymerase ii,potassium ion transmembrane transport,fatty acid oxidation,atp-activated inward rectifier potassium channel activity,atp hydrolysis activity,atp binding,mitochondrion,inward rectifying potassium channel,plasma membrane
ENSG00000187486,KCNJ11,regulation of insulin secretion,cellular response to glucose stimulus,negative regulation of insulin secretion,atp-activated inward rectifier potassium channel activity,inward rectifier potassium channel activity,voltage-gated potassium channel activity,endosome,intercalated disc,axolemma
ENSG00000084754,HADHA,fatty acid beta-oxidation,response to insulin,organic acid catabolic process,acetyl-coa c-acetyltransferase activity,nad+ binding,fatty-acyl-coa binding,mitochondrion,mitochondrial inner membrane,mitochondrial nucleoid
ENSG00000138029,HADHB,fatty acid beta-oxidation,cellular response to lipopolysaccharide,gene expression,-hydroxyacyl-coa dehydrogenase activity,acetyl-coa c-acetyltransferase activity,acyltransferase activity,mitochondrion,mitochondrial inner membrane,mitochondrial fatty acid beta-oxidation multienzyme complex
ENSG00000197265,GTF2E2,regulation of transcription,dna-templated transcription,transcription from rna polymerase ii promoter,rna polymerase ii general transcription initiation factor activity,protein binding,dna binding,transcription factor tfiie complex,nucleus,nucleoplasm
ENSG00000153767,GTF2E1,transcription initiation,rna polymerase ii regulatory region sequence-specific dna binding,mrna metabolic process,rna polymerase ii general transcription initiation factor activity,protein binding,metal ion binding,transcription factor tfiie complex,nucleus,nucleoplasm
ENSG00000140307,GTF2A2,positive regulation of transcription initiation by rna polymerase ii,transcription initiation at rna polymerase ii promoter,rna polymerase ii preinitiation complex assembly,tbp-class protein binding,rna polymerase ii general transcription initiation factor binding,protein heterodimerization activity,nucleus,transcription factor tfiid complex,transcription factor tfiia complex
ENSG00000165417,GTF2A1,positive regulation of transcription initiation by rna polymerase ii,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,rna polymerase ii core promoter sequence-specific dna binding,protein heterodimerization activity,tbp-class protein binding,transcription factor tfiid complex,nucleus,nucleoplasm
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity pathway,axon guidance,protein binding,receptor tyrosine kinase activity,signal transduction,cell-cell junction,apical plasma membrane,postsynaptic density membrane
ENSG00000274287,SCRIB,negative regulation of translational initiation,negative regulation of activated t cell proliferation,regulation of translation,protein kinase binding,signaling adaptor activity,cadherin binding,extrinsic component of postsynaptic density membrane,adherens junction,postsynaptic membrane
ENSG00000004975,DVL2,positive regulation of jnk cascade,positive regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,frizzled binding,protein kinase binding,small gtpase binding,nucleus,plasma membrane,aggresome
ENSG00000102981,PARD6A,regulation of protein secretion,establishment or maintenance of epithelial cell apical/basal polarity,centrosome cycle,gtp-dependent protein binding,small gtpase binding,protein binding,bicellular tight junction,par polarity complex,cytoskeleton
ENSG00000177885,GRB2,positive regulation of actin filament polymerization,b cell receptor signaling pathway,epidermal growth factor receptor signaling pathway,protein phosphatase binding,phosphotyrosine residue binding,transmembrane receptor protein tyrosine kinase adaptor activity,endosome,grb2-egfr complex,nucleus
ENSG00000109458,GAB1,positive regulation of angiogenesis,epidermal growth factor receptor signaling pathway,insulin receptor signaling pathway,signaling adaptor activity,protein binding,receptor tyrosine kinase activity,cytosol,cell-cell junction,membrane
ENSG00000146648,EGFR,positive regulation of transcription by rna polymerase ii,positive regulation of cyclin-dependent protein serine/threonine kinase activity,erbb2-egfr signaling pathway,receptor tyrosine kinase activity,platelet-derived growth factor receptor activity,atp binding,early endosome membrane,clathrin-coated endocytic vesicle membrane,focal adhesion
